category	japanese	dialogue	proposed	notes
skill	ダークウィング	0	Dark Wing	
skill	ダークフレイム	0	Dark Flame	
skill	ミケーネビーム	0	Mycenae Beam	
skill	ミケーネムチ4回	0	Mycenae Whip x4	
skill	ミケーネムチ2回	0	Mycenae Whip x2	
skill	ミケーネムチ転倒	0	Mycenae Whip Knockdown	
skill	ミケーネバリア	0	Mycenae Barrier	
skill	足払いナウー最後	0	Nau Leg Sweep (Final)	
skill	気絶攻撃ナウー最後	0	Nau Stun Attack (Final)	
skill	２回攻撃ナウ―最後	0	Nau Double Attack (Final)	
skill	気合い斬りナウ―最後	0	Nau Spirit Slash (Final)	
skill	突き上げナウー	0	Nau Rising Thrust	
skill	ダフィールファイア	0	Dafill Fire	
skill	ダフィールファイアストーム	0	Dafill Firestorm	
skill	２回攻撃ダフィール	0	Dafill Double Attack	
skill	浮雲渡り	0	Walking on Clouds	
skill	ベノムシャワー	0	Venom Shower	
skill	ダフィールフレアー	0	Dafill Flare	
skill	ダークストーム	0	Dark Storm	
skill	２回攻撃大魔王ダフィール	0	Great Demon King Dafill Double Attack	
skill	ダフィール気絶攻撃	0	Dafill Stun Attack	
skill	カマカゼ（ウィン）	0	Kamakaze (Win)	
skill	カマカゼ（ピピン）	0	Kamakaze (Pipin)	
skill	イヅナ（ウィン）	0	Izuna (Win)	
skill	イヅナ（ピピン）	0	Izuna (Pipin)	
skill	ミカヅチ（ウィン）	0	Mikazuchi (Win)	
skill	ミカヅチ（ピピン）	0	Mikazuchi (Pipin)	
skill	ミケーネブリザード最大	0	Mycenae Blizzard (Max)	
skill	２回攻撃ダフィール鎌	0	Dafill Double Attack (Scythe)	
skill	足払いダフィール	0	Dafill Leg Sweep	
skill	ツナミ敵用	0	Tsunami (Enemy)	
skill	ハヤテ適用	0	Hayate (Applied)	
skill	カマイタチ適用	0	Kamaitachi (Applied)	
skill	イカヅチ適用	0	Thunderclap (Applied)	
skill	猛毒かみつき	0	Venomous Bite	
skill	狂戦士の舞	0	Berserker Dance	
skill	ソードブレイカー適用	0	Sword Breaker (Applied)	
skill	気絶攻撃バンデッド	0	Bandit Stun Attack	
skill	気合攻撃バンデッド	0	Bandit Spirit Attack	
skill	暗闇攻撃バンデッド	0	Bandit Blind Attack	
skill	アンブッシュ適用	0	Ambush (Applied)	
skill	ハヤテ適用バンデッド	0	Bandit Hayate	
skill	回復バンデッド	0	Bandit Heal	
skill	足払いバンデッド	0	Bandit Leg Sweep	
item	傷薬	0	Healing Herb	
item	医療キット	0	Medical Kit	
item	ヒールポーション	0	Heal Potion	
item	万金丹	0	Mankintan	
item	キュアポーション	0	Cure Potion	
item	コブラ酒	0	Cobra Sake	
item	龍の涙	0	Dragon's Tear	
item	エネルギーポーション	0	Energy Potion	
item	ショックポーション	0	Shock Potion	
item	奇書『闇は我々の中に』	0	"Rare Tome ""The Darkness Within Us"""	
item	狂戦士のキノコ	0	Berserker Mushroom	
item	ライスボール	0	Rice Ball	
item	ふつうの魔物の素材	0	Common Monster Material	
item	かなりいい魔物の素材	0	Fine Monster Material	
item	きちょうな魔物の素材	0	Precious Monster Material	
item	さいこうの魔物の素材	0	Supreme Monster Material	
item	固いパン	0	Hard Bread	
item	美味しいパン	0	Delicious Bread	
item	ちょっとした財宝	0	A Little Treasure	
item	なかなかの財宝	0	A Good Treasure	
item	かなりいい財宝	0	A Fine Treasure	
item	すごい財宝	0	A Great Treasure	
item	ものすごい財宝	0	An Awesome Treasure	
item	南への通行手形	0	Southern Passage Permit	
item	ドライフルーツ	0	Dried Fruit	
item	力のエレメント	0	Power Element	
item	守りのエレメント	0	Guard Element	
item	素早さのエレメント	0	Swiftness Element	
item	魔力のエレメント	0	Magic Element	
item	精神のエレメント	0	Mind Element	
item	いのちのエレメント	0	Life Element	
item	気力のエレメント	0	Vigor Element	
item	風のエレメント	0	Wind Element	
item	火のエレメント	0	Fire Element	
item	水のエレメント	0	Water Element	
item	おにぎり	0	Onigiri	
item	高級医療キット	0	Premium Medical Kit	
item	究極の魔物の素材	0	Ultimate Monster Material	
weapon	ショートソード	0	Short Sword	
weapon	ショートソード（良質）	0	Short Sword (Fine)	
weapon	ショートソード（名品）	0	Short Sword (Masterwork)	
weapon	シャムシール	0	Shamshir	
weapon	シャムシール（良質）	0	Shamshir (Fine)	
weapon	シャムシール（名品）	0	Shamshir (Masterwork)	
weapon	脇差	0	Wakizashi	
weapon	脇差（業物）	0	Wakizashi (Fine)	
weapon	脇差（大業物）	0	Wakizashi (Great)	
weapon	ダガー	0	Dagger	
weapon	ダガー（良質）	0	Dagger (Fine)	
weapon	ダガー（名品）	0	Dagger (Masterwork)	
weapon	レイピア	0	Rapier	
weapon	レイピア（良質）	0	Rapier (Fine)	
weapon	レイピア（名品）	0	Rapier (Masterwork)	
weapon	スピア	0	Spear	
weapon	スピア（良質）	0	Spear (Fine)	
weapon	スピア（名品）	0	Spear (Masterwork)	
weapon	バスタードソード	0	Bastard Sword	
weapon	バスタードソード（良質）	0	Bastard Sword (Fine)	
weapon	バスタードソード（名品）	0	Bastard Sword (Masterwork)	
weapon	グラディウス	0	Gladius	
weapon	ゾモロドネガル	0	Zomolod Negal	fantasy name
weapon	にっかり青江	0	Nikkari Aoe	famous blade
weapon	マンゴーシュ	0	Main Gauche	
weapon	ロイスペシャル	0	Roi Special	
weapon	蜻蛉斬	0	Tonbogiri	famous blade
weapon	ツヴァイハンダー	0	Zweihander	
weapon	ショートソード（ピピン）	0	Short Sword (Pipin)	
weapon	物干し竿	0	Clothes Pole	
weapon	ショートソード（究極）	0	Short Sword (Ultimate)	
weapon	ロングソード（名品）	0	Long Sword (Masterwork)	
weapon	シャムシール（匠）	0	Shamshir (Master's)	
weapon	打刀（大業物）	0	Uchigatana (Great)	
weapon	ダガー（匠）	0	Dagger (Master's)	
weapon	レイピア（匠）	0	Rapier (Master's)	
weapon	スピア（匠）	0	Spear (Master's)	
weapon	グレートソード（名品）	0	Great Sword (Masterwork)	
weapon	ロイスペシャル（本物）	0	Roi Special (The Real Thing)	
weapon	藤四郎	0	Toshiro	famous blade
weapon	ロングソード（匠）	0	Long Sword (Master's)	
weapon	ゾモロドネガル（本物）	0	Zomolod Negal (The Real Thing)	
weapon	骨喰み	0	Honebami	famous blade
weapon	蜻蛉斬（本物）	0	Tonbogiri (The Real Thing)	
weapon	グレートソード（匠）	0	Great Sword (Master's)	
weapon	青江の大太刀	0	Aoe's Odachi	
weapon	ウィンドスピア	0	Wind Spear	
weapon	ムラクモ	0	Murakumo	famous blade
weapon	フレイムタン	0	Flame Tongue	
weapon	ドラゴンバスター	0	Dragon Buster	
weapon	藤四郎（大業物）	0	Toshiro (Great)	
weapon	村雨	0	Murasame	famous blade
armor	バックラー	0	Buckler	
armor	バックラー（良質）	0	Buckler (Fine)	
armor	バックラー（名品）	0	Buckler (Masterwork)	
armor	アイアンシールド	0	Iron Shield	
armor	アイアンシールド（良質）	0	Iron Shield (Fine)	
armor	アイアンシールド（名品）	0	Iron Shield (Masterwork)	
armor	レザーコート	0	Leather Coat	
armor	絹の服	0	Silk Robe	
armor	旅装束	0	Traveling Garb	
armor	チェインメイル	0	Chain Mail	
armor	チェインメイル（良質）	0	Chain Mail (Fine)	
armor	チェインメイル（名品）	0	Chain Mail (Masterwork)	
armor	プレートメイル	0	Plate Mail	
armor	プレートメイル（良質）	0	Plate Mail (Fine)	
armor	プレートメイル（名品）	0	Plate Mail (Masterwork)	
armor	騎士のマント	0	Knight's Cape	
armor	ホムラのバンダナ	0	Homura's Bandana	
armor	清流のマフラー	0	Clear Stream Scarf	
armor	騎士隊長のマント	0	Knight Captain's Cape	
armor	バックラー（匠）	0	Buckler (Master's)	
armor	アイアンシールド（匠）	0	Iron Shield (Master's)	
armor	チェインメイル（匠）	0	Chain Mail (Master's)	
armor	プレートメイル（匠）	0	Plate Mail (Master's)	
armor	エレメンタルシールド	0	Elemental Shield	
armor	ナイトメイル	0	Knight Mail	
armor	狂戦士の鎧	0	Berserker Armor	
armor	サムライの甲冑	0	Samurai Armor	
state	戦闘不能	0	Incapacitated	
state	不死身	0	Immortal	
state	毒	0	Poison	
state	暗闇	0	Blind	
state	沈黙	0	Silence	
state	激昂	0	Enrage	
state	混乱	0	Confusion	
state	魅了	0	Charm	
state	睡眠	0	Sleep	
state	猛毒	0	Venom	
state	転倒	0	Knock Down	
state	気絶	0	Stun	
state	魔力暴走	0	Magic Overload	
state	反撃の構え	0	Counter Stance	
state	ナウーの力	0	Power of Nau	
class	新米騎士	0	Novice Knight	
class	騎士隊長	0	Knight Captain	
class	風の紋章の継承者	0	Inheritor of the Wind Crest	
class	火の紋章の継承者	0	Inheritor of the Fire Crest	
class	水の紋章の継承者	0	Inheritor of the Water Crest	
class	火と水の紋章の継承者	0	Inheritor of the Fire and Water Crests	
class	退役騎士	0	Retired Knight	
class	セイリューの村人	0	Seiryu Villager	
class	セイリューの領主	0	Seiryu Lord	
class	新米の偵察兵	0	Rookie Scout	
class	風の紋章さいご	0	Wind Crest Final	
class	火の紋章さいご	0	Fire Crest Final	
class	水の紋章さいご	0	Water Crest Final	
class	ウィンダム王国国王	0	King of the Windam Kingdom	
class	謎の魔力を得た騎士	0	Knight of Mysterious Magic	
class	謎の魔力を得た王	0	King of Mysterious Magic	
class	謎の魔力を得たサムライ	0	Samurai of Mysterious Magic	
class	忍者犬	0	Ninja Dog	
class	大地の勇者	0	Hero of the Land	
map	エレメント大陸	0	Element Continent	
map	ウィンダム城下町	0	Windam Castle Town	
map	城1F	0	Castle 1F	
map	城2F	0	Castle 2F	
map	城3F	0	Castle 3F	
map	ウィンダム宿屋	0	Windam Inn	
map	バルコニー	0	Balcony	
map	パン屋	0	Bakery	
map	ウィンダム道具屋	0	Windam Item Shop	
map	ウィンダム民家1	0	Windam House 1	
map	ウィンダム民家2	0	Windam House 2	
map	ウィンダム錬金術	0	Windam Alchemy Shop	
map	ウィンダム民家3	0	Windam House 3	
map	ウィンダムレストラン	0	Windam Restaurant	
map	騎士団駐屯本部	0	Knight Order Garrison HQ	
map	ウィンダム武器屋	0	Windam Weapon Shop	
map	ロイの家	0	Roi's House	
map	西の監視塔一階	0	West Watchtower 1F	
map	西の監視塔　二階	0	West Watchtower 2F	
map	西の監視塔四階	0	West Watchtower 4F	
map	西の監視塔　三階	0	West Watchtower 3F	
map	フレイムへの関所	0	Gate to Flame	
map	西の監視塔最上階	0	West Watchtower Top	
map	南の関所の宿屋	0	South Gate Inn	
map	南の関所の道具屋	0	South Gate Item Shop	
map	旅人の宿	0	Traveler's Inn	
map	フレイム城下町	0	Flame Castle Town	
map	フレイム城　一階	0	Flame Castle 1F	
map	フレイム城　二階	0	Flame Castle 2F	
map	南の旧坑道	0	Old Southern Mine	
map	ロイの家オープニング	0	Roi's House (Opening)	
map	オープニング	0	Opening	
map	城3Fオープニング	0	Castle 3F (Opening)	
map	バルコニーオープニング	0	Balcony (Opening)	
map	ロイの家　回想	0	Roi's House (Flashback)	
map	西の監視塔　回想	0	West Watchtower (Flashback)	
map	ロイの家　回想2	0	Roi's House (Flashback 2)	
map	フレイムレストラン	0	Flame Restaurant	
map	フレイム錬金術	0	Flame Alchemy Shop	
map	フレイム道具屋	0	Flame Item Shop	
map	フレイム宿屋	0	Flame Inn	
map	フレイム武器屋	0	Flame Weapon Shop	
map	フレイム民家	0	Flame House	
map	砂漠の廃墟	0	Desert Ruins	
map	南の遺跡	0	Southern Ruins	
map	セイリュー領主の村　	0	Seiryu Lord's Village	
map	セイリュー宿屋	0	Seiryu Inn	
map	南の採石場	0	Southern Quarry	
map	採石場の家	0	Quarry House	
map	農家の家	0	Farmhouse	
map	セイリュー当主の家	0	Seiryu Head's House	
map	セイリュー武器屋	0	Seiryu Weapon Shop	
map	セイリュー錬金術	0	Seiryu Alchemy Shop	
map	龍のお社	0	Dragon Shrine	
map	お社の洞窟	0	Shrine Cave	
map	龍の穴	0	Dragon's Lair	
map	セイリュー領主の村 崩壊	0	Seiryu Lord's Village (Ruined)	
map	ウィンダム城下町　崩壊	0	Windam Castle Town (Ruined)	
map	フレイム城　一階　崩壊	0	Flame Castle 1F (Ruined)	
map	フレイム城　二階　崩壊	0	Flame Castle 2F (Ruined)	
map	ウィンダム城　3F　崩壊	0	Windam Castle 3F (Ruined)	
map	ウィンダム城　1F　崩壊	0	Windam Castle 1F (Ruined)	
map	ウィンダム城　2F　崩壊	0	Windam Castle 2F (Ruined)	
map	バルコニー　崩壊	0	Balcony (Ruined)	
map	光の柱	0	Pillar of Light	
map	エレメント大陸　崩壊	0	Element Continent (Ruined)	
map	フレイムへの関所　崩壊	0	Gate to Flame (Ruined)	
map	旅人の宿　崩壊	0	Traveler's Inn (Ruined)	
map	南の採石場　崩壊	0	Southern Quarry (Ruined)	
map	採石場の家　崩壊	0	Quarry House (Ruined)	
map	騎士団駐屯本部　崩壊	0	Knight Order Garrison HQ (Ruined)	
map	暗黒大陸への橋	0	Bridge to the Dark Continent	
map	暗黒大陸警備所	0	Dark Continent Guard Post	
map	暗黒大陸の廃墟	0	Dark Continent Ruins	
map	呪われた洞窟	0	Cursed Cave	
map	呪われた洞窟2	0	Cursed Cave 2	
map	呪われた洞窟2　氷	0	Cursed Cave 2 (Ice)	
map	呪われた洞窟3	0	Cursed Cave 3	
map	暗黒の塔	0	Dark Tower	
map	光の柱　二回目	0	Pillar of Light (Second Visit)	
map	光の柱ウィンダム	0	Pillar of Light (Windam)	
map	光の柱フレイム	0	Pillar of Light (Flame)	
map	光の柱セイリュー	0	Pillar of Light (Seiryu)	
map	暗黒の塔　大魔王戦	0	Dark Tower (Great Demon King Battle)	
map	呪われた洞窟4	0	Cursed Cave 4	
map	暗黒大陸への橋ＥＮＤ	0	Bridge to the Dark Continent (END)	
map	セイリューＥＮＤ	0	Seiryu (END)	
map	フレイムＥＮＤ	0	Flame (END)	
map	ウィンダムEND	0	Windam (END)	
map	光の大陸	0	Continent of Light	
map	マーケット	0	Market	
map	寂れた民家	0	Ramshackle House	
map	西の監視塔一階　裏	0	West Watchtower 1F (Rear)	
map	西の監視塔　二階　裏	0	West Watchtower 2F (Rear)	
map	西の監視塔　三階　裏	0	West Watchtower 3F (Rear)	
map	西の監視塔四階　裏	0	West Watchtower 4F (Rear)	
map	お社の洞窟　裏	0	Shrine Cave (Rear)	
map	暗黒大陸の廃墟　裏	0	Dark Continent Ruins (Rear)	
speaker	城下町の巡回兵マックス	3	Max, Town Patrolman	
speaker	市民トリス	1	Tris, Citizen	
speaker	市民ヒョードル	1	Fyodor, Citizen	
speaker	市民ジェームズ	2	James, Citizen	
speaker	市民タバサ	1	Tabatha, Citizen	
speaker	城下町北の巡回兵デミトリ―	4	Demitri, North Town Patrolman	
speaker	倉庫番ストロング	20	Strong, Warehouse Keeper	
speaker	大臣イワノフ	8	Ivanov, Minister	
speaker	城門係スカイ	5	Sky, Gatekeeper	
speaker	城門係クロウ	5	Crow, Gatekeeper	
speaker	ウィンダム市民レクサス	1	Lexus, Windam Citizen	
speaker	市民オードリー	2	Audrey, Citizen	
speaker	巡回兵カイル	11	Kyle, Patrolman	
speaker	市民レクサス	4	Lexus, Citizen	
speaker	市民マイ	7	Mai, Citizen	
speaker	市民サラ	4	Sarah, Citizen	
speaker	休憩中の兵士ステイ	9	Stay, Off-Duty Soldier	
speaker	料理長コッコ	3	Kokko, Head Cook	
speaker	手伝わされている兵士ハング	3	Hang, Conscripted Soldier	
speaker	本好きの兵士ライブ	3	Live, Bookish Soldier	
speaker	何かの書き置き	2	A Written Note	
speaker	書記官デアール	2	Dear, Scribe	
speaker	料理人助手ジョッシュ	13	Josh, Cook's Assistant	
speaker	城内の見回り兵ロール	5	Rohr, Palace Patrolman	
speaker	新米兵士ヤーボ	9	Yabo, Rookie Soldier	
speaker	偵察兵レイモンド	9	Raymond, Scout	
speaker	近衛兵ブロウニング	51	Browning, Royal Guard	
speaker	近衛兵ライトニング	71	Lightning, Royal Guard	
speaker	近衛兵クリス	20	Chris, Royal Guard	
speaker	騎士団長代行サクソン	29	Saxon, Acting Knight-Captain	
speaker	とても古いページ	3	A Very Old Page	
speaker	ちょっと古いページ	3	A Somewhat Old Page	
speaker	そんなに古くないページ	3	A Not-So-Old Page	
speaker	騎士隊長ピピン	2	Pipin, Knight Captain	
speaker	宿屋の主人ドゥイン	2	Duin, Innkeeper	
speaker	宿屋のバイト　ウェンディ	4	Wendy, Inn Part-Timer	
speaker	ウィンの父ジョン	3	John, Win's Father	
speaker	ウィンの母マリア	3	Maria, Win's Mother	
speaker	市民ユージーン	2	Eugene, Citizen	
speaker	市民ボブ	2	Bob, Citizen	
speaker	道具屋アレクセイ	6	Alexei, Item Shop Owner	
speaker	市民ハンナ	2	Hannah, Citizen	
speaker	市民エヴァ	4	Eva, Citizen	
speaker	市民デイビッド	3	David, Citizen	
speaker	市民ウィング	11	Wing, Citizen	
speaker	錬金術師サラ	4	Sarah, Alchemist	
speaker	市民ハリス	4	Harris, Citizen	
speaker	市民ホリイ	2	Holly, Citizen	
speaker	ハリスの娘ジャクリーン	11	Jacqueline, Harris's Daughter	
speaker	レストラン主人メアリ―	5	Mary, Restaurant Owner	
speaker	市民ハング	1	Hang, Citizen	
speaker	市民ミドル	1	Middle, Citizen	
speaker	行商人アバ	1	Abba, Peddler	
speaker	行政官グラス	1	Glass, Administrator	
speaker	駐屯隊長ジョセフ	10	Joseph, Garrison Captain	
speaker	ジョセフ	5	Joseph	
speaker	休憩中の兵デニー	1	Denny, Off-Duty Soldier	
speaker	休憩中の兵トム	2	Tom, Off-Duty Soldier	
speaker	武器屋ドミトリー	4	Dmitri, Weapon Shop Owner	
speaker	関所の見張りノーマン	11	Norman, Gate Watchman	
speaker	フレイムの民バス	2	Bas, Flame Citizen	
speaker	関所の警備兵ケン	2	Ken, Gate Guard	
speaker	市民ゲイル	2	Gale, Citizen	
speaker	宿屋の子ストール	2	Stall, Inn Helper	
speaker	？	67	?	
speaker	宿屋の主人ルロイ	4	Luroy, Innkeeper	
speaker	市民レオン	1	Leon, Citizen	
speaker	道具屋バル	4	Bar, Item Shop Owner	
speaker	宿屋の主人イリス	8	Iris, Innkeeper	
speaker	行商人キサリ	6	Kisari, Peddler	
speaker	旅人ロレン	3	Loren, Traveler	
speaker	旅の占い師スエタ	4	Sueta, Traveling Fortune-Teller	
speaker	果物売りの少年エリン	4	Erin, Fruit Boy	
speaker	街の見張り兵グアン	1	Guan, Town Watchman	
speaker	物乞いの子ビザエ	3	Bizae, Beggar Boy	
speaker	フレイムの民シルワル	3	Silwal, Flame Citizen	
speaker	野良犬	4	Stray Dog	
speaker	物乞いの子オシム	1	Oshim, Beggar Boy	
speaker	物乞いの子スニダ	15	Sunida, Beggar Boy	
speaker	物乞いをする兵マハル	3	Mahal, Begging Soldier	
speaker	フレイムの民タカリ	5	Takari, Flame Citizen	
speaker	フレイムの民ポッソ	3	Posso, Flame Citizen	
speaker	フレイムの民トモザ	3	Tomoza, Flame Citizen	
speaker	フレイム兵ウマル	8	Umaru, Flame Soldier	
speaker	王宮の職人キスパ	9	Kispa, Royal Craftsman	
speaker	フレイム兵ユミル	3	Yumir, Flame Soldier	
speaker	フレイム兵ザッハト	4	Zacht, Flame Soldier	
speaker	王宮調理師	3	Royal Cook	
speaker	家畜責任者デリー	3	Derry, Livestock Chief	
speaker	フレイム巡回兵ケイン	6	Kane, Flame Patrolman	
speaker	古いページ	12	An Old Page	
speaker	フレイム王国大臣リマル	13	Rimal, Minister of the Flame Kingdom	
speaker	大臣リマル	4	Rimal, Minister	
speaker	フレイム王国行政官シダルタ	10	Sidarta, Flame Kingdom Administrator	
speaker	イヌ	17	Dog	
speaker	ホムラ？	1	Homura?	
speaker	ロイの父	4	Roi's Father	
speaker	若かりし頃のロイ	12	Young Roi	
speaker	伝令兵	2	Messenger	
speaker	レストラン主人シータ	5	Theta, Restaurant Owner	
speaker	フレイム兵トクラ	1	Tokura, Flame Soldier	
speaker	フレイム兵キマリ	1	Kimari, Flame Soldier	
speaker	遊びに来ているフリックス	1	Flix, Visiting for Fun	
