id	file	context	type	japanese	translation
DB_Armors_13_description	Armors.json	Armors.json #13	description	全身を出来る限り隙間なく金属で覆った全身鎧。大変高価で\nあると共に、その重量の為に素早さが大きくダウン。	"Full-body armor covering every inch of the body in metal. Very expensive,
and its weight greatly lowers agility."
DB_Armors_13_name	Armors.json	Armors.json #13 (プレートメイル)	name	プレートメイル	Plate Mail
DB_Armors_14_description	Armors.json	Armors.json #14	description	全身を出来る限り隙間なく金属で覆った全身鎧。大変高価で\nあると共に、その重量の為に素早さが大きくダウン。	"Full-body armor covering every inch of the body in metal. Very expensive,
and its weight greatly lowers agility."
DB_Armors_14_name	Armors.json	Armors.json #14 (プレートメイル（良質）)	name	プレートメイル（良質）	Plate Mail (Fine)
DB_Armors_15_description	Armors.json	Armors.json #15	description	全身を出来る限り隙間なく金属で覆った全身鎧。大変高価で\nあると共に、その重量の為に素早さが大きくダウン。	"Full-body armor covering every inch of the body in metal. Very expensive,
and its weight greatly lowers agility."
DB_Armors_15_name	Armors.json	Armors.json #15 (プレートメイル（名品）)	name	プレートメイル（名品）	Plate Mail (Masterwork)
DB_Armors_16_description	Armors.json	Armors.json #16	description	ウィンダム騎士団の騎士のみに支給される立派なマント。\n風の力が宿るというが、真偽のほどは分からない。	"A magnificent cape issued only to knights of the Windam Knight Order.
It's said to hold the power of wind, though the truth is unclear."
DB_Armors_16_name	Armors.json	Armors.json #16 (騎士のマント)	name	騎士のマント	Knight's Cape
DB_Armors_17_description	Armors.json	Armors.json #17	description	幼い頃に急逝したというフレイム王国の王子が身に着けて\nいた腰布から作られたバンダナ。ホノオにとって兄の形見。	"A bandana made from the sash worn by the Flame Kingdom's prince, said to have died young.
To Hono, it's her brother's keepsake."
DB_Armors_17_name	Armors.json	Armors.json #17 (ホムラのバンダナ)	name	ホムラのバンダナ	Homura's Bandana
DB_Armors_18_description	Armors.json	Armors.json #18	description	大昔からセイリューに伝わり水の紋章の継承者に受け継がれ\nている伝説の着物。龍から授かったと伝わる。	"A legendary robe handed down in Seiryu since ancient times to the inheritor of the
Water Crest. Said to have been granted by a dragon."
DB_Armors_18_name	Armors.json	Armors.json #18 (清流のマフラー)	name	清流のマフラー	Clear Stream Scarf
DB_Armors_19_description	Armors.json	Armors.json #19	description	ウィンダム騎士隊長のみに支給される立派なマント。\n風の力が宿るというが、真偽のほどは分からない。	"A magnificent cape issued only to the Windam Knight Captain.
It's said to hold the power of wind, though the truth is unclear."
DB_Armors_19_name	Armors.json	Armors.json #19 (騎士隊長のマント)	name	騎士隊長のマント	Knight Captain's Cape
DB_Armors_1_description	Armors.json	Armors.json #1	description	小型で軽量の盾。敵の攻撃を受け止めるというよりも、\n受け流すためのもの。少量の防御力と、回避率が上がる。	"A small, light shield. Rather than blocking enemy attacks, it's meant to deflect them.
Slightly raises defense and evasion."
DB_Armors_1_name	Armors.json	Armors.json #1 (バックラー)	name	バックラー	Buckler
DB_Armors_20_description	Armors.json	Armors.json #20	description	小型で軽量の盾。敵の攻撃を受け止めるというよりも、\n受け流すためのもの。少量の防御力と、回避率が上がる。	"A small, light shield. Rather than blocking enemy attacks, it's meant to deflect them.
Slightly raises defense and evasion."
DB_Armors_20_name	Armors.json	Armors.json #20 (バックラー（匠）)	name	バックラー（匠）	Buckler (Master's)
DB_Armors_21_description	Armors.json	Armors.json #21	description	斬撃や弓矢を完全に防ぎ重い打撃もある程度防ぐ鉄製の盾。\n防御力と少しの回避率が上がるが、素早さが下がる。	"An iron shield that fully blocks slashes and arrows, and stops heavy blows to a degree.
Raises defense and slightly raises evasion, but lowers agility."
DB_Armors_21_name	Armors.json	Armors.json #21 (アイアンシールド（匠）)	name	アイアンシールド（匠）	Iron Shield (Master's)
DB_Armors_22_description	Armors.json	Armors.json #22	description	細かな鎖を編み込んだ戦闘用の軽装鎧。軽さと斬撃への耐性\nを両立した、最も一般的な防具。素早さがダウン。	"Light combat armor woven from fine chain. The most common armor, balancing lightness
with resistance to slashes. Lowers agility."
DB_Armors_22_name	Armors.json	Armors.json #22 (チェインメイル（匠）)	name	チェインメイル（匠）	Chain Mail (Master's)
DB_Armors_23_description	Armors.json	Armors.json #23	description	全身を出来る限り隙間なく金属で覆った全身鎧。大変高価で\nあると共に、その重量の為に素早さが大きくダウン。	"Full-body armor covering every inch of the body in metal. Very expensive,
and its weight greatly lowers agility."
DB_Armors_23_name	Armors.json	Armors.json #23 (プレートメイル（匠）)	name	プレートメイル（匠）	Plate Mail (Master's)
DB_Armors_24_description	Armors.json	Armors.json #24	description	魔法の力が宿った盾。少量の防御力と回避率、\nそして魔法ぼうぎょが大きくアップする。	"A shield imbued with magical power.
Slightly raises defense and evasion, and greatly raises magic defense."
DB_Armors_24_name	Armors.json	Armors.json #24 (エレメンタルシールド)	name	エレメンタルシールド	Elemental Shield
DB_Armors_25_description	Armors.json	Armors.json #25	description	全身を出来る限り隙間なく金属で覆った全身鎧。騎士団は\n勿論、他国でも見たことのない立派で頑丈な鎧。ウィン専用	"Full-body armor covering every inch of the body in metal. A magnificent, sturdy suit
unseen even in other nations, let alone the knight orders. Win only."
DB_Armors_25_name	Armors.json	Armors.json #25 (ナイトメイル)	name	ナイトメイル	Knight Mail
DB_Armors_26_description	Armors.json	Armors.json #26	description	初代フレイム王の持ち物と伝わる、フレイムの伝説上の鎧。\n軽く動きやすいが、急所は全て守られている。ホノオ専用。	"A legendary suit of Flame armor said to have belonged to the first King Flame.
Light and easy to move in, yet every vital is protected. Hono only."
DB_Armors_26_name	Armors.json	Armors.json #26 (狂戦士の鎧)	name	狂戦士の鎧	Berserker Armor
DB_Armors_27_description	Armors.json	Armors.json #27	description	見たこともない意匠の美しい鎧。華美でありながら軽く、\n堅牢な作り。素早さが少しダウン。ナガレ専用。	"A beautiful suit of armor with a design never seen before. Ornate yet light,
and stoutly built. Slightly lowers agility. Nagare only."
DB_Armors_27_name	Armors.json	Armors.json #27 (サムライの甲冑)	name	サムライの甲冑	Samurai Armor
DB_Armors_2_description	Armors.json	Armors.json #2	description	小型で軽量の盾。敵の攻撃を受け止めるというよりも、\n受け流すためのもの。少量の防御力と、回避率が上がる。	"A small, light shield. Rather than blocking enemy attacks, it's meant to deflect them.
Slightly raises defense and evasion."
DB_Armors_2_name	Armors.json	Armors.json #2 (バックラー（良質）)	name	バックラー（良質）	Buckler (Fine)
DB_Armors_3_description	Armors.json	Armors.json #3	description	小型で軽量の盾。敵の攻撃を受け止めるというよりも、\n受け流すためのもの。少量の防御力と、回避率が上がる。	"A small, light shield. Rather than blocking enemy attacks, it's meant to deflect them.
Slightly raises defense and evasion."
DB_Armors_3_name	Armors.json	Armors.json #3 (バックラー（名品）)	name	バックラー（名品）	Buckler (Masterwork)
DB_Armors_4_description	Armors.json	Armors.json #4	description	斬撃や弓矢を完全に防ぎ重い打撃もある程度防ぐ鉄製の盾。\n防御力と少しの回避率が上がるが、素早さが下がる。	"An iron shield that fully blocks slashes and arrows, and stops heavy blows to a degree.
Raises defense and slightly raises evasion, but lowers agility."
DB_Armors_4_name	Armors.json	Armors.json #4 (アイアンシールド)	name	アイアンシールド	Iron Shield
DB_Armors_5_description	Armors.json	Armors.json #5	description	斬撃や弓矢を完全に防ぎ重い打撃もある程度防ぐ鉄製の盾。\n防御力と少しの回避率が上がるが、素早さが下がる。	"An iron shield that fully blocks slashes and arrows, and stops heavy blows to a degree.
Raises defense and slightly raises evasion, but lowers agility."
DB_Armors_5_name	Armors.json	Armors.json #5 (アイアンシールド（良質）)	name	アイアンシールド（良質）	Iron Shield (Fine)
DB_Armors_6_description	Armors.json	Armors.json #6	description	斬撃や弓矢を完全に防ぎ重い打撃もある程度防ぐ鉄製の盾。\n防御力と少しの回避率が上がるが、素早さが下がる。	"An iron shield that fully blocks slashes and arrows, and stops heavy blows to a degree.
Raises defense and slightly raises evasion, but lowers agility."
DB_Armors_6_name	Armors.json	Armors.json #6 (アイアンシールド（名品）)	name	アイアンシールド（名品）	Iron Shield (Masterwork)
DB_Armors_7_description	Armors.json	Armors.json #7	description	主にウインダム王国の兵士、その中でも重装する必要のない\n役職のものが着るもの。軽装ながら丈夫に作られている。	"Worn mainly by Windam Kingdom soldiers in posts that don't require heavy armor.
Light, yet sturdily made."
DB_Armors_7_name	Armors.json	Armors.json #7 (レザーコート)	name	レザーコート	Leather Coat
DB_Armors_8_description	Armors.json	Armors.json #8	description	フレイム王国の民の多くが普段着として用いる上質な服。\n通気性と丈夫さを兼ね備えている。	"Fine clothing worn by many citizens of the Flame Kingdom as everyday wear.
Both breathable and durable."
DB_Armors_8_name	Armors.json	Armors.json #8 (絹の服)	name	絹の服	Silk Robe
DB_Armors_9_description	Armors.json	Armors.json #9	description	セイリューの者が長旅に出る際にまとう服、一式。\n動きやすく、防寒性にも優れている。	"A full set of clothing worn by the people of Seiryu when setting out on long journeys.
Easy to move in, and excellent at keeping out the cold."
DB_Armors_9_name	Armors.json	Armors.json #9 (旅装束)	name	旅装束	Traveling Garb
DB_Classes_10_name	Classes.json	Classes.json #10 (新米の偵察兵)	name	新米の偵察兵	Rookie Scout
DB_Classes_11_name	Classes.json	Classes.json #11 (風の紋章さいご)	name	風の紋章さいご	Wind Crest Final
DB_Classes_12_name	Classes.json	Classes.json #12 (風の紋章の継承者)	name	風の紋章の継承者	Inheritor of the Wind Crest
DB_Classes_13_name	Classes.json	Classes.json #13 (風の紋章の継承者)	name	風の紋章の継承者	Inheritor of the Wind Crest
DB_Classes_14_name	Classes.json	Classes.json #14 (火の紋章さいご)	name	火の紋章さいご	Fire Crest Final
DB_Classes_15_name	Classes.json	Classes.json #15 (火の紋章の継承者)	name	火の紋章の継承者	Inheritor of the Fire Crest
DB_Classes_16_name	Classes.json	Classes.json #16 (火の紋章の継承者)	name	火の紋章の継承者	Inheritor of the Fire Crest
DB_Classes_17_name	Classes.json	Classes.json #17 (水の紋章さいご)	name	水の紋章さいご	Water Crest Final
DB_Classes_18_name	Classes.json	Classes.json #18 (水の紋章の継承者)	name	水の紋章の継承者	Inheritor of the Water Crest
DB_Classes_19_name	Classes.json	Classes.json #19 (水の紋章の継承者)	name	水の紋章の継承者	Inheritor of the Water Crest
DB_Classes_1_name	Classes.json	Classes.json #1 (新米騎士)	name	新米騎士	Novice Knight
DB_Classes_20_name	Classes.json	Classes.json #20 (騎士隊長)	name	騎士隊長	Knight Captain
DB_Classes_21_name	Classes.json	Classes.json #21 (ウィンダム王国国王)	name	ウィンダム王国国王	King of the Windam Kingdom
DB_Classes_22_name	Classes.json	Classes.json #22 (セイリューの村人)	name	セイリューの村人	Seiryu Villager
DB_Classes_23_name	Classes.json	Classes.json #23 (セイリューの村人)	name	セイリューの村人	Seiryu Villager
DB_Classes_24_name	Classes.json	Classes.json #24 (謎の魔力を得た騎士)	name	謎の魔力を得た騎士	Knight of Mysterious Magic
DB_Classes_25_name	Classes.json	Classes.json #25 (謎の魔力を得た王)	name	謎の魔力を得た王	King of Mysterious Magic
DB_Classes_26_name	Classes.json	Classes.json #26 (謎の魔力を得たサムライ)	name	謎の魔力を得たサムライ	Samurai of Mysterious Magic
DB_Classes_27_name	Classes.json	Classes.json #27 (謎の魔力を得たサムライ)	name	謎の魔力を得たサムライ	Samurai of Mysterious Magic
DB_Classes_29_name	Classes.json	Classes.json #29 (忍者犬)	name	忍者犬	Ninja Dog
DB_Classes_2_name	Classes.json	Classes.json #2 (騎士隊長)	name	騎士隊長	Knight Captain
DB_Classes_30_name	Classes.json	Classes.json #30 (大地の勇者)	name	大地の勇者	Hero of the Land
DB_Classes_3_name	Classes.json	Classes.json #3 (風の紋章の継承者)	name	風の紋章の継承者	Inheritor of the Wind Crest
DB_Classes_4_name	Classes.json	Classes.json #4 (火の紋章の継承者)	name	火の紋章の継承者	Inheritor of the Fire Crest
DB_Classes_5_name	Classes.json	Classes.json #5 (水の紋章の継承者)	name	水の紋章の継承者	Inheritor of the Water Crest
DB_Classes_6_name	Classes.json	Classes.json #6 (火と水の紋章の継承者)	name	火と水の紋章の継承者	Inheritor of the Fire and Water Crests
DB_Classes_7_name	Classes.json	Classes.json #7 (退役騎士)	name	退役騎士	Retired Knight
DB_Classes_8_name	Classes.json	Classes.json #8 (セイリューの村人)	name	セイリューの村人	Seiryu Villager
DB_Classes_9_name	Classes.json	Classes.json #9 (セイリューの領主)	name	セイリューの領主	Seiryu Lord
CE4_1	CommonEvents.json	0	dialogue	度重なる魔族軍の侵攻も最早脅威と呼ばれなくなって	
CE4_11	CommonEvents.json	0	dialogue	魔族を、闇を駆逐した我々は、いまや彼らと比べて本当に	
CE4_12	CommonEvents.json	0	dialogue	正しいのであろうか。お互いの内に闇を生み出しそれを増幅	
CE4_13	CommonEvents.json	0	dialogue	し合うようになった我々がそこに目を向けない限り、本当の	
CE4_14	CommonEvents.json	0	dialogue	意味での闇は結局形を変えるだけでむしろ強大になるばかり	
CE4_2	CommonEvents.json	0	dialogue	数百年。我々は遂に闇を克服したと言ってよいだろう。	
CE4_3	CommonEvents.json	0	dialogue	この大陸のどこにも光が満たされ、闇は駆逐された。	
CE4_4	CommonEvents.json	0	dialogue	彼らの魔法の力も我々の兵器の前には児戯に等しい。	
CE4_6	CommonEvents.json	0	dialogue	しかしそうなって後、魔族を駆逐する兵器群を持て余した	
CE4_7	CommonEvents.json	0	dialogue	人類は、互いに争い始めた。大陸に闇はない。全てが文明の	
CE4_8	CommonEvents.json	0	dialogue	明かりに照らされている。野生の魔物も近い将来大陸から	
CE4_9	CommonEvents.json	0	dialogue	姿を消すだろう。しかし、それは勝利ではなかった。	
DB_Enemies_10_name	Enemies.json	Enemies.json #10 (ナウー)	name	ナウー	Nau
DB_Enemies_11_name	Enemies.json	Enemies.json #11 (鎧魔人ナウー)	name	鎧魔人ナウー	Armored Fiend Nau
DB_Enemies_12_name	Enemies.json	Enemies.json #12 (闇のエレメント)	name	闇のエレメント	Dark Element
DB_Enemies_13_name	Enemies.json	Enemies.json #13 (暗黒のエレメント)	name	暗黒のエレメント	Element of Darkness
DB_Enemies_15_name	Enemies.json	Enemies.json #15 (人食いハチ)	name	人食いハチ	Man-eating Bee
DB_Enemies_16_name	Enemies.json	Enemies.json #16 (人食い草)	name	人食い草	Man-eating Grass
DB_Enemies_17_name	Enemies.json	Enemies.json #17 (新米バンデッド)	name	新米バンデッド	Rookie Bandit
DB_Enemies_19_name	Enemies.json	Enemies.json #19 (娘さん)	name	娘さん	The Girl
DB_Enemies_1_name	Enemies.json	Enemies.json #1 (人食いコウモリ)	name	人食いコウモリ	Man-eating Bat
DB_Enemies_21_name	Enemies.json	Enemies.json #21 (デザートウルフ)	name	デザートウルフ	Desert Wolf
DB_Enemies_22_name	Enemies.json	Enemies.json #22 (マムシ)	name	マムシ	Mamushi
DB_Enemies_23_name	Enemies.json	Enemies.json #23 (ハブ)	name	ハブ	Habu
DB_Enemies_24_name	Enemies.json	Enemies.json #24 (アオダイショー)	name	アオダイショー	Aodaisho
DB_Enemies_25_name	Enemies.json	Enemies.json #25 (火食い鳥)	name	火食い鳥	Fire-Eating Bird
DB_Enemies_26_name	Enemies.json	Enemies.json #26 (火牛)	name	火牛	Flame Bull
DB_Enemies_27_name	Enemies.json	Enemies.json #27 (炎のアクマ)	name	炎のアクマ	Flame Fiend
DB_Enemies_28_name	Enemies.json	Enemies.json #28 (風のアクマ)	name	風のアクマ	Wind Fiend
DB_Enemies_29_name	Enemies.json	Enemies.json #29 (氷のアクマ)	name	氷のアクマ	Ice Fiend
DB_Enemies_2_name	Enemies.json	Enemies.json #2 (人食いネズミ)	name	人食いネズミ	Man-eating Rat
DB_Enemies_30_name	Enemies.json	Enemies.json #30 (動く人形)	name	動く人形	Moving Doll
DB_Enemies_31_name	Enemies.json	Enemies.json #31 (火牛)	name	火牛	Flame Bull
DB_Enemies_32_name	Enemies.json	Enemies.json #32 (青龍)	name	青龍	Seiryu
DB_Enemies_33_name	Enemies.json	Enemies.json #33 (ミケーネ)	name	ミケーネ	Mycenae
DB_Enemies_34_name	Enemies.json	Enemies.json #34 (ダフィール)	name	ダフィール	Dafill
DB_Enemies_35_name	Enemies.json	Enemies.json #35 (火食い鳥)	name	火食い鳥	Fire-Eating Bird
DB_Enemies_36_name	Enemies.json	Enemies.json #36 (サチコ)	name	サチコ	Sachiko
DB_Enemies_38_name	Enemies.json	Enemies.json #38 (ナウー)	name	ナウー	Nau
DB_Enemies_39_name	Enemies.json	Enemies.json #39 (ひとつ目のアクマ)	name	ひとつ目のアクマ	One-Eyed Fiend
DB_Enemies_3_name	Enemies.json	Enemies.json #3 (人食いグモ)	name	人食いグモ	Man-eating Spider
DB_Enemies_40_name	Enemies.json	Enemies.json #40 (操られたピピン)	name	操られたピピン	Brainwashed Pipin
DB_Enemies_41_name	Enemies.json	Enemies.json #41 (ダフィール)	name	ダフィール	Dafill
DB_Enemies_42_name	Enemies.json	Enemies.json #42 (火牛)	name	火牛	Flame Bull
DB_Enemies_43_name	Enemies.json	Enemies.json #43 (雷牛)	name	雷牛	Thunder Bull
DB_Enemies_44_name	Enemies.json	Enemies.json #44 (火吹きイヌ)	name	火吹きイヌ	Fire-Breathing Dog
DB_Enemies_45_name	Enemies.json	Enemies.json #45 (セイレーン)	name	セイレーン	Siren
DB_Enemies_46_name	Enemies.json	Enemies.json #46 (凍りついた人形)	name	凍りついた人形	Frozen Doll
DB_Enemies_47_name	Enemies.json	Enemies.json #47 (焼き焦げた人形)	name	焼き焦げた人形	Charred Doll
DB_Enemies_48_name	Enemies.json	Enemies.json #48 (生えてきた目玉)	name	生えてきた目玉	Growing Eyeball
DB_Enemies_49_name	Enemies.json	Enemies.json #49 (踊り狂うアクマ)	name	踊り狂うアクマ	Dancing Fiend
DB_Enemies_4_name	Enemies.json	Enemies.json #4 (人食いイヌ)	name	人食いイヌ	Man-eating Dog
DB_Enemies_50_name	Enemies.json	Enemies.json #50 (雷を帯びた妖精)	name	雷を帯びた妖精	Thunder Fairy
DB_Enemies_52_name	Enemies.json	Enemies.json #52 (ヤバミネーション)	name	ヤバミネーション	Yabamination
DB_Enemies_53_name	Enemies.json	Enemies.json #53 (暗くかがやく龍)	name	暗くかがやく龍	Darkly Shining Dragon
DB_Enemies_54_name	Enemies.json	Enemies.json #54 (ヤバミネーション)	name	ヤバミネーション	Yabamination
DB_Enemies_55_name	Enemies.json	Enemies.json #55 (暗くかがやく龍)	name	暗くかがやく龍	Darkly Shining Dragon
DB_Enemies_56_name	Enemies.json	Enemies.json #56 (ミケーネ)	name	ミケーネ	Mycenae
DB_Enemies_57_name	Enemies.json	Enemies.json #57 (ナウー)	name	ナウー	Nau
DB_Enemies_58_name	Enemies.json	Enemies.json #58 (魔王ダフィール)	name	魔王ダフィール	Demon King Dafill
DB_Enemies_59_name	Enemies.json	Enemies.json #59 (魔王ダフィール)	name	魔王ダフィール	Demon King Dafill
DB_Enemies_5_name	Enemies.json	Enemies.json #5 (ナウー)	name	ナウー	Nau
DB_Enemies_60_name	Enemies.json	Enemies.json #60 (大魔王ダフィール)	name	大魔王ダフィール	Great Demon King Dafill
DB_Enemies_61_name	Enemies.json	Enemies.json #61 (ピケピケ)	name	ピケピケ	Pikepike
DB_Enemies_62_name	Enemies.json	Enemies.json #62 (人食いバット)	name	人食いバット	Man-eating Bat
DB_Enemies_63_name	Enemies.json	Enemies.json #63 (人食いラット)	name	人食いラット	Man-eating Rat
DB_Enemies_64_name	Enemies.json	Enemies.json #64 (人食いスパイダー)	name	人食いスパイダー	Man-eating Spider
DB_Enemies_65_name	Enemies.json	Enemies.json #65 (人食いドッグ)	name	人食いドッグ	Man-eating Dog
DB_Enemies_66_name	Enemies.json	Enemies.json #66 (狂気のジャクリーン)	name	狂気のジャクリーン	Mad Jacqueline
DB_Enemies_67_name	Enemies.json	Enemies.json #67 (ナウー)	name	ナウー	Nau
DB_Enemies_68_name	Enemies.json	Enemies.json #68 (火のサムライ)	name	火のサムライ	Fire Samurai
DB_Enemies_69_name	Enemies.json	Enemies.json #69 (風のサムライ)	name	風のサムライ	Wind Samurai
DB_Enemies_6_name	Enemies.json	Enemies.json #6 (ピケピケ)	name	ピケピケ	Pikepike
DB_Enemies_70_name	Enemies.json	Enemies.json #70 (氷のサムライ)	name	氷のサムライ	Ice Samurai
DB_Enemies_71_name	Enemies.json	Enemies.json #71 (髪が伸びる人形)	name	髪が伸びる人形	Hair-Growing Doll
DB_Enemies_72_name	Enemies.json	Enemies.json #72 (焔牛)	name	焔牛	Blaze Bull
DB_Enemies_73_name	Enemies.json	Enemies.json #73 (ミケーネ)	name	ミケーネ	Mycenae
DB_Enemies_74_name	Enemies.json	Enemies.json #74 (ナウー)	name	ナウー	Nau
DB_Enemies_75_name	Enemies.json	Enemies.json #75 (ミケーネ)	name	ミケーネ	Mycenae
DB_Enemies_76_name	Enemies.json	Enemies.json #76 (ダフィール)	name	ダフィール	Dafill
DB_Enemies_77_name	Enemies.json	Enemies.json #77 (操られたピピン)	name	操られたピピン	Brainwashed Pipin
DB_Enemies_78_name	Enemies.json	Enemies.json #78 (雲ガメ)	name	雲ガメ	Cloud Turtle
DB_Enemies_79_name	Enemies.json	Enemies.json #79 (雷イヌ)	name	雷イヌ	Thunder Dog
DB_Enemies_7_name	Enemies.json	Enemies.json #7 (大魔道士ピケピケ)	name	大魔道士ピケピケ	Grand Mage Pikepike
DB_Enemies_80_name	Enemies.json	Enemies.json #80 (雲ガメ)	name	雲ガメ	Cloud Turtle
DB_Enemies_81_name	Enemies.json	Enemies.json #81 (雷イヌ)	name	雷イヌ	Thunder Dog
DB_Enemies_82_name	Enemies.json	Enemies.json #82 (ひとつ目のアクマ)	name	ひとつ目のアクマ	One-Eyed Fiend
DB_Enemies_83_name	Enemies.json	Enemies.json #83 (凄腕バンデッド)	name	凄腕バンデッド	Skilled Bandit
DB_Enemies_84_name	Enemies.json	Enemies.json #84 (猛毒ヘビ)	name	猛毒ヘビ	Venomous Snake
DB_Enemies_85_name	Enemies.json	Enemies.json #85 (サヨコ)	name	サヨコ	Sayoko
DB_Enemies_86_name	Enemies.json	Enemies.json #86 (ダークフェアリー)	name	ダークフェアリー	Dark Fairy
DB_Enemies_87_name	Enemies.json	Enemies.json #87 (凍りついたヒノタマ)	name	凍りついたヒノタマ	Frozen Hinotama
DB_Enemies_88_name	Enemies.json	Enemies.json #88 (燃え盛るヒノタマ)	name	燃え盛るヒノタマ	Burning Hinotama
DB_Enemies_89_name	Enemies.json	Enemies.json #89 (青い巨人)	name	青い巨人	Blue Giant
DB_Enemies_8_name	Enemies.json	Enemies.json #8 (ミケーネ)	name	ミケーネ	Mycenae
DB_Enemies_90_name	Enemies.json	Enemies.json #90 (大魔道士ピケピケ)	name	大魔道士ピケピケ	Grand Mage Pikepike
DB_Enemies_91_name	Enemies.json	Enemies.json #91 (ミケーネ)	name	ミケーネ	Mycenae
DB_Enemies_92_name	Enemies.json	Enemies.json #92 (ナウー)	name	ナウー	Nau
DB_Enemies_93_name	Enemies.json	Enemies.json #93 (魔王ダフィール)	name	魔王ダフィール	Demon King Dafill
DB_Enemies_94_name	Enemies.json	Enemies.json #94 (魔王ダフィール)	name	魔王ダフィール	Demon King Dafill
DB_Enemies_95_name	Enemies.json	Enemies.json #95 (大魔王ダフィール)	name	大魔王ダフィール	Great Demon King Dafill
DB_Enemies_96_name	Enemies.json	Enemies.json #96 (闇の王)	name	闇の王	Dark King
DB_Enemies_97_name	Enemies.json	Enemies.json #97 (伝説のバンデッド)	name	伝説のバンデッド	Legendary Bandit
DB_Enemies_98_name	Enemies.json	Enemies.json #98 (ザイール)	name	ザイール	Zaire
DB_Enemies_9_name	Enemies.json	Enemies.json #9 (蛇神ミケーネ)	name	蛇神ミケーネ	Serpent God Mycenae
