id	japanese	translation
DB_Troops_6_name	人食いネズミ*2, 人食いグモ*2	Man-eating Rat x2, Man-eating Spider x2
DB_Troops_70_name	焼き焦げた人形, 踊り狂うアクマ, セイレーン, 凍りついた人形	Charred Doll, Dancing Fiend, Siren, Frozen Doll
DB_Troops_71_name	踊り狂うアクマ*3	Dancing Fiend x3
DB_Troops_72_name	生えてきた目玉*4	Growing Eyeball x4
DB_Troops_76_name	ヤバミネーションざこ	Yabamination, Trash Mob
DB_Troops_77_name	暗くかがやく龍ざこ	Darkly Shining Dragon, Trash Mob
DB_Troops_81_name	魔王ダフィール一回目	Demon King Dafill, First Fight
DB_Troops_82_name	魔王ダフィール本番	Demon King Dafill, The Real Thing
DB_Troops_85_name	人食いバット*3	Man-eating Bat x3
DB_Troops_86_name	人食いラット*2	Man-eating Rat x2
DB_Troops_87_name	人食いスパイダー*2	Man-eating Spider x2
DB_Troops_88_name	人食いバット*2, 人食いラット	Man-eating Bat x2, Man-eating Rat
DB_Troops_89_name	人食いバット*2, 人食いスパイダー*2	Man-eating Bat x2, Man-eating Spider x2
DB_Troops_8_name	人食いグモ*3	Man-eating Spider x3
DB_Troops_90_name	人食いラット*2, 人食いスパイダー*2	Man-eating Rat x2, Man-eating Spider x2
DB_Troops_92_name	人食いスパイダー*3	Man-eating Spider x3
DB_Troops_95_name	ナウー本番戦闘　裏	Nau, Final Battle (Rear)
DB_Troops_99_name	髪が伸びる人形*2	Hair-Growing Doll x2
